Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,Date
84,6.0,2.7,5.1,1.6,versicolor,2024-03-03
85,5.4,3.0,4.5,1.5,versicolor,2024-03-03
86,6.0,3.4,4.5,1.6,versicolor,2024-03-03
87,6.7,3.1,4.7,1.5,versicolor,2024-03-03
88,6.3,2.3,4.4,1.3,versicolor,2024-03-03
89,5.6,3.0,4.1,1.3,versicolor,2024-03-03
90,5.5,2.5,4.0,1.3,versicolor,2024-03-03
91,5.5,2.6,4.4,1.2,versicolor,2024-03-03
92,6.1,3.0,4.6,1.4,versicolor,2024-03-03
93,5.8,2.6,4.0,1.2,versicolor,2024-03-03
94,5.0,2.3,3.3,1.0,versicolor,2024-03-03
95,5.6,2.7,4.2,1.3,versicolor,2024-03-03
96,5.7,3.0,4.2,1.2,versicolor,2024-03-03
97,5.7,2.9,4.2,1.3,versicolor,2024-03-03
98,6.2,2.9,4.3,1.3,versicolor,2024-03-03
99,5.1,2.5,3.0,1.1,versicolor,2024-03-03
100,5.7,2.8,4.1,1.3,versicolor,2024-03-03
101,6.3,3.3,6.0,2.5,virginica,2024-03-03
102,5.8,2.7,5.1,1.9,virginica,2024-03-03
103,7.1,3.0,5.9,2.1,virginica,2024-03-03
104,6.3,2.9,5.6,1.8,virginica,2024-03-03
105,6.5,3.0,5.8,2.2,virginica,2024-03-03
106,7.6,3.0,6.6,2.1,virginica,2024-03-03
107,4.9,2.5,4.5,1.7,virginica,2024-03-03
108,7.3,2.9,6.3,1.8,virginica,2024-03-03
109,6.7,2.5,5.8,1.8,virginica,2024-03-03
110,7.2,3.6,6.1,2.5,virginica,2024-03-03
111,6.5,3.2,5.1,2.0,virginica,2024-03-03
112,6.4,2.7,5.3,1.9,virginica,2024-03-03
113,6.8,3.0,5.5,2.1,virginica,2024-03-03
114,5.7,2.5,5.0,2.0,virginica,2024-03-03
115,5.8,2.8,5.1,2.4,virginica,2024-03-03
116,6.4,3.2,5.3,2.3,virginica,2024-03-03
117,6.5,3.0,5.5,1.8,virginica,2024-03-03
118,7.7,3.8,6.7,2.2,virginica,2024-03-03
119,7.7,2.6,6.9,2.3,virginica,2024-03-03
120,,2.2,5.0,1.5,virginica,2024-03-03
121,,3.2,5.7,2.3,virginica,2024-03-03
122,5.6,2.8,4.9,2.0,virginica,2024-03-03
123,7.7,2.8,6.7,2.0,virginica,2024-03-03
124,6.3,2.7,4.9,1.8,virginica,2024-03-03
125,6.7,3.3,5.7,2.1,virginica,2024-03-03
126,7.2,3.2,6.0,1.8,virginica,2024-03-03
127,6.2,2.8,4.8,1.8,virginica,2024-03-03
128,6.1,3.0,4.9,1.8,virginica,2024-03-03
129,6.4,2.8,5.6,2.1,virginica,2024-03-03
130,7.2,3.0,5.8,1.6,virginica,2024-03-03
131,7.4,2.8,6.1,1.9,virginica,2024-03-03
132,7.9,3.8,6.4,2.0,virginica,2024-03-03
133,6.4,2.8,5.6,2.2,virginica,2024-03-03
134,6.3,2.8,5.1,21.5,virginica,2024-03-03
135,6.1,2.6,5.6,1.4,virginica,2024-03-03
136,7.7,3.0,6.1,2.3,virginica,2024-03-03
137,6.3,3.4,5.6,2.4,virginica,2024-03-03
138,6.4,3.1,5.5,1.8,virginica,2024-03-03
139,6.0,3.0,4.8,1.8,virginica,2024-03-03
140,6.9,3.1,5.4,2.1,virginica,2024-03-03
141,6.7,3.1,5.6,2.4,virginica,2024-03-03
142,6.9,3.1,5.1,2.3,virginica,2024-03-03
143,5.8,2.7,5.1,1.9,virginica,2024-03-03
144,6.8,3.2,5.9,2.3,virginica,2024-03-03
145,6.7,3.3,5.7,2.5,virginica,2024-03-03
146,6.7,3.0,5.2,2.3,virginica,2024-03-03
147,6.3,2.5,5.0,1.9,virginica,2024-03-03
148,6.5,3.0,5.2,2.0,virginica,2024-03-03
149,6.2,3.4,5.4,2.3,virginica,2024-03-03
150,5.9,3.0,5.1,1.8,virginica,2024-03-03
